Produkt;Kategori;URL til produktinformasjon;URL til bilde (.jpg);Pris (NOK);ID;Beskrivelse
QuickHeat bærbar varmevifte;Husholdning;https://example.com/quickheat-varmevifte;https://example.com/images/quickheat-varmevifte.jpg;399;QH035;Hold deg varm på kalde dager med QuickHeat bærbar varmevifte. Kompakt design, rask oppvarming, og energieffektiv.
AquaStream vannfilterkanne;Helse;https://example.com/aquastream-vannfilterkanne;https://example.com/images/aquastream-vannfilterkanne.jpg;299;AS036;Nyt rent og klart vann med AquaStream vannfilterkanne. Fjerner urenheter og forbedrer vannsmaken på en enkel og effektiv måte.
PowerHub smartstrømuttak;Tilbehør;https://example.com/powerhub-smartstromuttak;https://example.com/images/powerhub-smartstromuttak.jpg;499;PH037;Kontrollér hjemmets strømforbruk med PowerHub smartstrømuttak. Styr enhetene dine via app og reduser energiforbruket.
UltraTrack GPS-tracker;Sikkerhet;https://example.com/ultratrack-gps;https://example.com/images/ultratrack-gps.jpg;999;UT038;Hold styr på verdifulle eiendeler med UltraTrack GPS-tracker. Fungerer over hele verden med sanntids posisjonering via mobilapp.
AeroFit treningsklokke;Helse;https://example.com/aerofit-treningsklokke;https://example.com/images/aerofit-treningsklokke.jpg;1199;AF039;Hold deg i form med AeroFit treningsklokke. Spor treningsøktene dine, overvåk hjertefrekvensen og motta personlige treningsinnsikter.
SafeGuard røykvarsler;Sikkerhet;https://example.com/safeguard-roykvarsler;https://example.com/images/safeguard-roykvarsler.jpg;299;SG040;Beskytt hjemmet ditt med SafeGuard røykvarsler. Gir deg tidlig advarsel ved brannfare, og kan kobles til andre varsler i huset.
ZoomPro videokonferansekamera;Kontor;https://example.com/zoompro-kamera;https://example.com/images/zoompro-kamera.jpg;1299;ZP041;Hold profesjonelle videokonferanser med ZoomPro kamera. Høy oppløsning, bredt synsfelt og automatisk fokus sikrer skarpe og klare bilder.
ChillMate bærbar kjølebag;Utendørs;https://example.com/chillmate-kjolebag;https://example.com/images/chillmate-kjolebag.jpg;799;CM042;Hold mat og drikke kald på farten med ChillMate bærbar kjølebag. Ideell for piknik, camping eller dagsturer.
PureAir luftrenser;Helse;https://example.com/pureair-luftrenser;https://example.com/images/pureair-luftrenser.jpg;1799;PA043;Pust lettere med PureAir luftrenser. Fjerner pollen, støv og andre partikler fra luften, og gir et sunnere inneklima.
SmartMirror speil med lys;Husholdning;https://example.com/smartmirror-speil;https://example.com/images/smartmirror-speil.jpg;1499;SM044;Få perfekt lyssetting med SmartMirror speil. Justerbart lys, innebygd sensor, og Bluetooth-tilkobling for en smart morgenrutine.
ActiveLight frontlykt for sykkel;Utendørs;https://example.com/activelight-lykt;https://example.com/images/activelight-lykt.jpg;499;AL045;Øk sikkerheten på sykkelturene dine med ActiveLight frontlykt. Kraftig lys og lang batterilevetid for maksimal synlighet i mørket.
QuickSteam klesdamper;Husholdning;https://example.com/quicksteam-klesdamper;https://example.com/images/quicksteam-klesdamper.jpg;999;QS046;Fjern rynker fra klær raskt med QuickSteam klesdamper. Perfekt for sensitive stoffer som ikke tåler strykejern.
SmartLock dørlås;Sikkerhet;https://example.com/smartlock-dorlås;https://example.com/images/smartlock-dorlås.jpg;1499;SL047;Sikre hjemmet ditt med SmartLock dørlås. Appstyrt, fingeravtrykksgjenkjenning, og tidsplanlegging gir deg full kontroll.
FrostGuard bildeksel;Biltilbehør;https://example.com/frostguard-bildeksel;https://example.com/images/frostguard-bildeksel.jpg;799;FG048;Beskytt bilen din mot snø og is med FrostGuard bildeksel. Rask å montere og fjerne, og gir full dekning av frontruten.
EcoWave oppvaskmaskin;Husholdning;https://example.com/ecowave-oppvaskmaskin;https://example.com/images/ecowave-oppvaskmaskin.jpg;6999;EW049;Spar vann og energi med EcoWave oppvaskmaskin. Stille drift, flere vaskeprogrammer, og tilkoblet app for fjernstyring.
PowerGrip trådløse verktøy;Verktøy;https://example.com/powergrip-verktøy;https://example.com/images/powergrip-verktøy.jpg;1999;PG050;Fullfør alle dine DIY-prosjekter med PowerGrip trådløse verktøy. Sterk motor og lang batterilevetid gjør jobben enkel og effektiv.
QuickFix sysett;Husholdning;https://example.com/quickfix-sysett;https://example.com/images/quickfix-sysett.jpg;199;QF051;Reparér klærne dine raskt med QuickFix sysett. Kompakt, bærbart, og inneholder alle nødvendige verktøy for små reparasjoner.
ProFit massasjepistol;Helse;https://example.com/profit-massasjepistol;https://example.com/images/profit-massasjepistol.jpg;1499;PF052;Lindr ømme muskler med ProFit massasjepistol. Flere intensitetsnivåer og utskiftbare hoder for målrettet behandling.
SmartPan induksjonskoketopp;Kjøkkenutstyr;https://example.com/smartpan-koketopp;https://example.com/images/smartpan-koketopp.jpg;5499;SP053;Tilbered mat raskt og sikkert med SmartPan induksjonskoketopp. Presis temperaturkontroll og smarte sikkerhetsfunksjoner.
AquaFlow hageslange;Hage;https://example.com/aquaflow-hageslange;https://example.com/images/aquaflow-hageslange.jpg;399;AF054;Vann hagen din enkelt med AquaFlow hageslange. Slitesterk, fleksibel og utstyrt med justerbar munnstykke for ulike vanningsbehov.
QuickDry hårføner;Skjønnhet;https://example.com/quickdry-harføner;https://example.com/images/quickdry-harføner.jpg;799;QD055;Få perfekt hår på kort tid med QuickDry hårføner. Kraftig motor og ionisk teknologi for rask og skånsom tørking.
SkyLounge oppblåsbart loungemøbel;Utendørs;https://example.com/skylounge-loungemøbel;https://example.com/images/skylounge-loungemøbel.jpg;999;SL056;Slapp av hvor som helst med SkyLounge oppblåsbart loungemøbel. Enkel å blåse opp og tømme for luft, ideell for strand eller park.
BrightView nattlys;Belysning;https://example.com/brightview-nattlys;https://example.com/images/brightview-nattlys.jpg;299;BV057;Gi hjemmet ditt et mykt, beroligende lys med BrightView nattlys. Sensorstyrt og energieffektivt, perfekt for barnerom.
ActiveTrack aktivitetsklokke;Helse;https://example.com/activetrack-klokke;https://example.com/images/activetrack-klokke.jpg;999;AT058;Hold deg aktiv med ActiveTrack aktivitetsklokke. Spor trening, søvn, og puls, og motta helsedata direkte på håndleddet.
SafeTrip dashbordkamera;Biltilbehør;https://example.com/safetrip-dashcam;https://example.com/images/safetrip-dashcam.jpg;1499;ST059;Dokumentér kjøreturene dine med SafeTrip dashbordkamera. Høyoppløselig video, nattsyn, og bevegelsessensorer for ekstra sikkerhet.
AquaPure vannrenser;Helse;https://example.com/aquapure-vannrenser;https://example.com/images/aquapure-vannrenser.jpg;1999;AP060;Få rent drikkevann hjemme med AquaPure vannrenser. Fjerner bakterier, klor og andre forurensninger, og gir deg trygt og friskt vann.
GripFit treningsbånd;Fitness;https://example.com/gripfit-treningsbånd;https://example.com/images/gripfit-treningsbånd.jpg;399;GF061;Tren hele kroppen med GripFit treningsbånd. Flere motstandsnivåer for varierte og effektive treningsøkter hjemme eller på farten.
SoundShield øreklokker;Lyd;https://example.com/soundshield-øreklokker;https://example.com/images/soundshield-øreklokker.jpg;599;SS062;Beskytt hørselen din med SoundShield øreklokker. Perfekte for byggarbeid, skyting, eller andre høylytte omgivelser.
TurboVent kjøkkenvifte;Kjøkkenutstyr;https://example.com/turbovent-kjøkkenvifte;https://example.com/images/turbovent-kjøkkenvifte.jpg;3999;TV063;Hold kjøkkenet ditt fritt for røyk og lukt med TurboVent kjøkkenvifte. Kraftig sugeevne og stillegående drift for et behagelig inneklima.
CozyHeat elektrisk teppe;Husholdning;https://example.com/cozyheat-elektrisk-teppe;https://example.com/images/cozyheat-elektrisk-teppe.jpg;1199;CH064;Hold deg varm på kalde kvelder med CozyHeat elektrisk teppe. Flere varmeinnstillinger og automatisk avstengning for ekstra sikkerhet.
PowerLift garasjeheis;Verktøy;https://example.com/powerlift-garasjeheis;https://example.com/images/powerlift-garasjeheis.jpg;4999;PL065;Gjør tunge løft i garasjen enklere med PowerLift garasjeheis. Perfekt for å løfte biler, båter eller store maskiner.
ClearView dashcam;Biltilbehør;https://example.com/clearview-dashcam;https://example.com/images/clearview-dashcam.jpg;1299;CV066;Dokumenter dine bilturer med ClearView dashcam. Opptak i full HD, bred synsvinkel og nattsyn for optimal sikkerhet.
SmartBake ovn med WiFi;Kjøkkenutstyr;https://example.com/smartbake-ovn;https://example.com/images/smartbake-ovn.jpg;7499;SB067;Bak som en proff med SmartBake ovn. Fjernstyr temperatur og tid via app, og få perfekte resultater hver gang.
